time,cwnd
21.597,33058
21.597,33108
21.597,33159
21.597,33209
21.597,33259
21.598,33310
21.598,33360
21.598,33410
21.636,33460
21.636,33510
21.636,33560
21.636,33609
21.636,33659
21.636,33709
21.636,33758
21.636,33808
21.636,33857
21.637,33907
21.637,33956
21.637,34005
21.637,34054
21.637,34103
21.637,34152
21.637,34201
21.637,34250
21.637,34299
21.638,34348
21.638,34396
21.638,34445
21.638,34493
21.638,34542
21.638,34590
21.638,34638
21.638,34687
21.638,34735
21.638,34783
21.638,34831
21.676,34879
21.677,34927
21.677,34975
21.677,35022
21.677,35070
21.677,35118
21.677,35165
21.677,35213
21.677,35260
21.677,35308
21.678,35355
21.678,35402
21.678,35449
21.678,35497
21.678,35544
21.678,35591
21.678,35638
21.678,35685
21.679,35731
21.679,35778
21.679,35825
21.679,35871
21.679,35918
21.679,35965
21.679,36011
21.679,36057
21.679,36104
21.679,36150
21.680,36196
21.680,36242
21.717,36289
21.717,36335
21.718,36381
21.718,36426
21.718,36472
21.718,36518
21.718,36564
21.718,36610
21.718,36655
21.718,36701
21.718,36746
21.718,36792
21.719,36837
21.719,36883
21.719,36928
21.719,36973
21.719,37018
21.719,37063
21.719,37109
21.719,37154
21.720,37199
21.720,37243
21.720,37288
21.720,37333
21.720,37378
21.720,37423
21.720,37467
21.720,37512
21.720,37556
21.720,37601
21.720,37645
21.758,37690
21.758,37734
21.758,37778
21.758,37823
21.758,37867
21.759,37911
21.759,37955
21.759,37999
21.759,38043
21.759,38087
21.759,38131
21.759,38175
21.759,38218
21.759,38262
21.759,38306
21.760,38349
21.760,38393
21.760,38436
21.760,38480
21.760,38523
21.760,38567
21.760,38610
21.760,38653
21.760,38696
21.761,38740
21.761,38783
21.761,38826
21.761,38869
21.761,38912
21.761,38955
21.761,38998
21.761,39041
21.799,39083
21.799,39126
21.799,39169
21.799,39212
21.799,39254
21.799,39297
21.799,39339
21.799,39382
21.799,39424
21.799,39466
21.799,39509
21.800,39551
21.800,39593
21.800,39636
21.800,39678
21.800,39720
21.800,39762
21.800,39804
21.800,39846
21.800,39888
21.800,39930
21.800,39972
21.801,40013
21.801,40055
21.801,40097
21.801,40139
21.801,40180
21.801,40222
21.801,40263
21.801,40305
21.801,40346
21.801,40388
21.802,40429
21.802,40470
21.839,40512
21.839,40553
21.840,40594
